asin,sku,product_name,current_price,deal_price,ppc_assignee,daily_avg_units,daily_sale_avg,expected_units,expected_sale,ppc_share,exp_ppc_units,daily_budget_per_product,cpu_per_product,day1_units,day1_sales,day1_spend,spend_diff,unit_diff,bacos,gp_pct,gp_per_unit,expected_gp_pct,expected_bacos,extra_blended,event_date,brand
B0CCP8GG6X,CC0517,VitalCore Lion's Mane Mushroom Extract 2000mg- 365 Tablets,23.99,21.59,Akshay,8.0,191.92,25.0,539.75,0.5,12.5,102.2604016,8.180832125,21.0,460.53,63.99,-38.27040156,-4.0,0.1389486027,0.3751,7.68,0.3082,0.2,-0.0610513973,2025-07-09,VitalCore
B08HJPDMTR,CC0410,VitalCore Multivitamins with Minerals 365 Tablets,18.89,17.05,Sourabh,23.0,434.47,80.0,1364.0,0.69,55.2,331.2590568,6.001069869,70.0,1218.59,212.54,-118.7190568,-10.0,0.1744146924,0.2401,3.88,0.1784,0.24,-0.06558530761,2025-07-09,VitalCore
B09WJBLCR3,CC0477,VitalCore Melatonin Complex 365 Tablets,22.99,14.99,Syed,20.0,459.8,45.0,674.55,0.57,25.65,160.019825,6.238589668,76.0,1179.2,207.74,47.72017502,31.0,0.1761702849,0.1752,2.49,0.0972,0.25,-0.07382971506,2025-07-09,VitalCore
B0CD7Z3W9F,,VitalCore Melatonin Complex 1 mg 400 Tablets,,,Syed,,0.0,,0.0,,0.0,0.0,,2.0,37.98,,0.0,2.0,0.0,,,,0.08,-0.08,2025-07-09,VitalCore
B07YNVK1MB,CC0344,VitalCore Organic Turmeric,23.99,19.99,Srikara,32.0,767.68,55.0,1099.45,0.73,40.15,354.8935537,8.839191873,44.0,901.33,169.38,-185.5135537,-11.0,0.1879222926,0.1838,3.48,0.1067,0.27,-0.08207770739,2025-07-09,VitalCore
B089QHSS5H,CC0287,VitalCore Certified (Bio) Organic Ginger 650mg 90 Capsule,16.99,15.09,Sourabh,11.0,186.89,20.0,301.8,0.53,10.6,36.72303271,3.464437048,11.0,171.84,18.51,-18.21303271,-9.0,0.1077164804,0.2527,3.61,0.1652,0.19,-0.08228351955,2025-07-09,VitalCore
B0B8SSJZVK,CC0492,VitalCore Ginkgo Biloba Complex 6600mg 365 Tablets,19.99,17.49,Akshay,16.0,319.84,25.0,437.25,0.65,16.25,106.1038474,6.529467535,32.0,564.68,94.54,-11.56384744,7.0,0.1674222569,0.2164,3.59,0.1431,0.25,-0.08257774315,2025-07-09,VitalCore
B0CHRNR4QH,CC0530,VitalCore Berberine,21.94,18.49,Syed,29.0,636.26,40.0,739.6,0.59,23.6,199.6388418,8.459272956,67.0,1256.02,159.9,-39.73884176,27.0,0.12730689,0.255,4.47,0.1677,0.21,-0.08269310998,2025-07-09,VitalCore
B0BSGZV1T9,CC0500,VitalCore Milk Thistle 2000mg 180 Capsules,19.99,17.49,Akshay,9.0,179.91,16.0,279.84,0.73,11.68,77.07262458,6.598683611,16.0,288.79,52.66,-24.41262458,0.0,0.1823470342,0.2453,4.07,0.152,0.27,-0.08765296582,2025-07-09,VitalCore
B08GG6TPN6,CC0409,VitalCore Vitamin B Complex 365 Tablets,19.99,16.09,Syed,31.0,619.69,65.0,1045.85,0.7,45.5,326.1370172,7.167846532,78.0,1286.69,161.48,-164.6570172,13.0,0.1255003148,0.2609,3.98,0.1526,0.23,-0.1044996852,2025-07-09,VitalCore
B07L9C38RD,CC0288,VitalCore Glucosamine and Chondroitin 180 Capsules,21.99,19.69,Akshay,21.0,461.79,35.0,689.15,0.48,16.8,238.246013,14.1813103,61.0,1191.16,109.97,-128.276013,26.0,0.09232177038,0.3013,5.62,0.1557,0.2,-0.1076782296,2025-07-09,VitalCore
B086T13DD6,CC0371,VitalCore Multivitamin Gummies 120 Gummies,22.94,14.21,Sourabh,13.0,298.22,55.0,781.55,0.35,19.25,147.3497107,7.654530424,50.0,752.94,58.96,-88.38971066,-5.0,0.07830637235,0.2127,2.87,0.0784,0.2,-0.1216936276,2025-07-09,VitalCore
B08GG96FPL,CC0406,VitalCore Vitamin B12 (Methylcobalamin) 1000mcg 400 Tablets,19.99,15.6,Syed,45.0,899.55,70.0,1092.0,0.62,43.4,308.7592792,7.114269106,124.0,2027.32,373.13,64.3707208,54.0,0.1840508652,0.4184,6.19,0.2115,0.19,-0.005949134818,2025-07-09,VitalCore
B093SND46D,CC0438,VitalCore Choline Bitartrate 700mg 180 Capsules,18.99,17.09,Syed,0.0,0.0,20.0,341.8,0.95,19.0,162.2870533,8.54142386,0.0,0.0,0.54,-161.7470533,-20.0,0.0,,,0.1801,0.2,-0.2,2025-07-09,VitalCore
B08RRZPPNP,CC0008,VitalCore Cranberry with Vitamin C 15000mg 180 Capsule,17.99,15.99,Akshay,8.0,143.92,15.0,239.85,0.5,7.5,37.77521045,5.036694727,7.0,112.01,22.76,-15.01521045,-8.0,0.2031961432,0.3905,5.92,0.1584,0.22,-0.0168038568,2025-07-09,VitalCore
