asin,product_name,brand,sku,seo_owner,ppc_owner,in_monthly_pnl,in_prime_day
B07HB251F9,PawVista Flea & Tick Killer for Dogs,PawVista,,,,0,0
B07HB2914R,PawVista Eye Care for Cats & Dogs,PawVista,,,,0,0
B07HB2CQ58,PawVista Multivitamin Powder,PawVista,,,,0,0
B07HB2G8H4,Eco Masters Gold Edition Brightening Body Milk,Other,,,,0,0
B07HB2QS68,PawVista Caninexiety,PawVista,,,,0,0
B07HB2V5YV,PawVista Calming Drops 100ml Drops,PawVista,,Aneesh,Amjad,1,0
B07HB35746,PawVista Flea & Tick Repellent for Dogs,PawVista,,,,0,0
B07HB3BZ2H,PawVista Flea & Tick Defence Powder 100g Powder,PawVista,,Shirley,Srikara,1,0
B07HB3BZ55,Eco Masters Gold Edition Exclusive Face,Other,,,,0,0
B07HB3ZS79,PawVista Denti-CarePowder180gPowder,PawVista,,Twinkle,Amjad,1,0
B07HB49R5L,PawVista Digestican,PawVista,,,,0,0
B07HF4XVMG,PawVista Digestease for Cats,PawVista,,,,0,0
B07HF6MPVH,PawVista Soothex for Dogs,PawVista,,,,0,0
B07HF7BNZZ,PawVista Flaxseed Oil for Cats & Dogs,PawVista,,,,0,0
B07HF7NQQK,PawVista Soothex for Cats,PawVista,,,,0,0
B07HG9JJRP,PawVista UTI Support for cats,PawVista,,,,0,0
B07HGB6DZ7,PawVista L-LYSINE for Cats,PawVista,,,,0,0
B07HGCXMH1,PawVista Fur Detangler for Dogs,PawVista,,,,0,0
B07HGCZRVW,PawVista Itch Relief Spray 250ml Spray,PawVista,,Shirley,Amjad,1,0
B07HGD7YF5,PawVista Grooming and Anti-Itching Shampoo 500ml Shampoo,PawVista,,Shirley,Srikara,1,0
B07HGDT9MT,PawVista Grooming Conditioner 500ml Conditioner,PawVista,,Aneesh,Amjad,1,0
B07J1VXFPJ,mysmile mysmile  Teeth Whitening Kit,Other,,,,0,0
B07K8PZCND,VitalCore INULIN,VitalCore,,,,0,0
